peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,diff_adj
PEP-0026,7,0,0,0,0,11045,82.523,0.2865,11.392699029837,0.47285679,10.638,684.857930240798,199.529761181388,60.2172208182851,5,1,472.8567900000001,60.2172208182851,5,903.2583122742764,430.4015222742764
PEP-0350,13,0,3,2,0,43153,0.98693,0.23521875,17.4,0.4704375,11.3421666666667,804.260859589075,236.834032124985,18.2941342143061,5,6,470.4375,18.2941342143061,5,274.4120132145915,-196.02548678540848
PEP-0170,12,0,0,0,1,18602,0.97359,0.24,9.87223062433206,0.4673232,11.0566666666667,684.624488991389,125.003008689979,26.1616560327282,5,5,467.3232,26.1616560327282,5,392.424840490923,-74.89835950907701
PEP-0127,8,0,0,1,0,17015,1.0,0.233625,12.5711128336366,0.46725,8.93766666666667,508.924585902439,216.463436074147,42.4063935888231,5,4,467.25,42.4063935888231,5,636.0959038323465,168.8459038323465
PEP-0320,16,0,0,1,1,22442,0.61493,0.231805555555556,17.06,0.463611111111112,13.9171666666667,587.180555672192,171.899463141541,28.9876162529368,5,6,463.611111111112,28.9876162529368,5,434.814243794052,-28.79686731705999
PEP-0329,17,0,0,2,2,36213,0.98102,0.23071875,28.35,0.4614375,14.0621666666667,639.529406355558,241.338445054396,26.0655634097351,5,6,461.4375,26.0655634097351,5,390.9834511460265,-70.45404885397352
PEP-0049,8,0,0,0,1,9710,92.949,0.245,8.58599345631128,0.4554501,8.107,493.773320561854,127.073189157003,60.2099924932495,5,1,455.4501,60.2099924932495,5,903.1498873987424,447.6997873987425
PEP-0015,7,0,0,0,1,8691,77.463,0.2935,13.3571775762391,0.45470781,11.299,934.443190951869,128.323848933258,71.1014233894382,5,1,454.70781,71.1014233894382,5,1066.521350841573,611.813540841573
PEP-0154,10,0,0,4,0,29494,0.89112,0.254925,13.6838155199334,0.454337532,13.3283333333333,1011.31886945988,328.167246584257,37.0885882534591,5,4,454.337532,37.0885882534591,5,556.3288238018865,101.99129180188652
PEP-0299,17,0,0,0,1,18256,0.49199,0.226638889,45.62274711,0.453277778,10.2135,495.245966725619,89.4628499269747,19.1393042652322,5,6,453.277778,19.1393042652322,5,287.089563978483,-166.188214021517
PEP-0033,7,0,2,0,0,16586,93.496,0.24225,29.2683484009208,0.45298812,9.30716666666667,1290.17153701074,223.721719835943,44.9619598528765,5,1,452.98812,44.9619598528765,5,674.4293977931475,221.4412777931475
PEP-0253,14,0,0,0,0,17884,0.92916,0.2435,16.6704258684146,0.45250092,12.2136666666667,536.840998110279,82.4290921254578,15.363656923406,5,5,452.50092,15.363656923406,5,230.45485385109,-222.04606614891
PEP-0002,7,0,0,0,0,10988,96.733,0.23295,13.0732190462501,0.450679047,9.29416666666667,506.525679848844,121.131192411121,36.7465090435388,5,1,450.679047,36.7465090435388,5,551.197635653082,100.51858865308196
PEP-0035,7,0,0,2,0,16223,100.0,0.224625,7.98315585550553,0.44925,12.8376666666667,1052.86062402028,147.49474026871,30.3056853990652,5,1,449.25,30.3056853990652,5,454.585280985978,5.335280985977988
PEP-0023,7,0,1,2,0,21548,100.0,0.2235,23.5378227070473,0.447,12.8798333333333,1239.89831685382,236.865329701308,36.6415026454594,5,1,447.0,36.6415026454594,5,549.622539681891,102.622539681891
PEP-0342,13,0,0,1,2,22368,0.78958,0.223277778,13.3,0.446555556,11.1596666666667,741.867280925643,100.389342490438,19.6633647687621,5,6,446.555556,19.6633647687621,5,294.9504715314315,-151.60508446856852
PEP-0318,15,0,0,1,1,21441,0.66768,0.2228125,16.41,0.445625,14.0166666666667,437.672895030149,103.593965259221,18.4010027459627,5,6,445.625,18.4010027459627,5,276.01504118944047,-169.60995881055953
PEP-0129,8,0,1,0,0,12368,0.85647,0.26,21.6555027375623,0.4453644,10.3026666666667,538.455089935882,107.678330922849,29.0206799598018,5,4,445.3644,29.0206799598018,5,435.310199397027,-10.05420060297297
PEP-0019,7,0,0,0,0,5867,98.269,0.2266,26.07136057801,0.445355108,10.129,404.715617537636,72.7269124957238,41.3197616588397,5,1,445.355108,41.3197616588397,5,619.7964248825955,174.44131688259552
PEP-0145,11,0,0,1,1,22591,0.71981,0.30875,11.0067009299905,0.444482675,10.0536666666667,569.798591452144,302.01391322483,50.5479536092973,5,4,444.482675,50.5479536092973,5,758.2193041394595,313.7366291394595
PEP-0194,11,0,0,1,0,20124,0.96988,0.2265,14.9733327269536,0.43935564,11.775,611.958579984788,145.740571522008,24.1404246210178,5,5,439.35564,24.1404246210178,5,362.106369315267,-77.249270684733
PEP-0346,13,0,1,1,0,27455,1.0,0.21728125,13.54,0.4345625,8.8605,806.864431427214,150.169559130634,18.2322053215121,5,6,434.5625,18.2322053215121,5,273.48307982268153,-161.07942017731847
PEP-0113,12,0,1,0,0,21273,1.0,0.215833333333333,13.7168241546181,0.431666666666667,11.2781666666667,968.115654281296,176.499228971748,27.6562197733823,5,4,431.66666666666697,27.6562197733823,5,414.8432966007345,-16.823370065932465
PEP-0134,9,0,1,1,0,18350,0.85975,0.250821428571429,16.037541833417,0.431287446428571,10.5758333333333,793.915864600935,187.464815623302,34.0535541550048,5,4,431.287446428571,34.0535541550048,5,510.803312325072,79.51586589650094
PEP-0048,8,0,1,1,0,22463,100.0,0.2154375,20.6272876013635,0.430875,10.9191666666667,1210.72551386055,218.804559913202,32.4688836328187,5,1,430.875,32.4688836328187,5,487.03325449228055,56.15825449228055
PEP-0103,11,0,0,0,0,9615,1.0,0.2139375,14.2412863081153,0.427875,11.1563333333333,571.166412609798,118.129640401632,40.9532468024379,5,4,427.875,40.9532468024379,5,614.2987020365686,186.42370203656856
PEP-0151,10,0,0,1,0,13878,0.79031,0.26878125,16.350959484861,0.424841019375,11.6751666666667,527.491650251664,137.683770255302,33.0700317661772,5,4,424.841019375,33.0700317661772,5,496.0504764926581,71.20945711765802
PEP-0094,11,0,0,0,0,9776,0.93439,0.2255625,14.0032051416549,0.42152668875,10.632,291.900722506712,30.5598370424377,10.4200208137063,5,4,421.52668875,10.4200208137063,5,156.3003122055945,-265.2263765444055
PEP-0300,15,0,3,0,2,35003,0.83563,0.2086875,18.37032008,0.417375,9.61333333333333,996.927917559315,261.743041233101,29.4228848383077,5,6,417.375,29.4228848383077,5,441.3432725746154,23.96827257461547
PEP-0021,7,0,1,0,0,16448,93.498,0.22175,33.1452039657937,0.41466363,8.75916666666667,518.101590665037,203.813557893969,41.3046283021176,5,1,414.66363,41.3046283021176,5,619.569424531764,204.90579453176397
PEP-0063,11,0,0,0,1,12833,0.81869,0.252333333333333,13.0060873949213,0.413165553333333,9.84633333333333,481.986892004797,59.001880476455,19.3613836307853,5,4,413.165553333333,19.3613836307853,5,290.4207544617795,-122.74479887155348
PEP-0111,12,0,0,0,0,10726,0.6931,0.297428571428571,12.6842081421795,0.412295485714286,11.5711666666667,633.133174001074,97.3010865491233,30.2383885105113,5,4,412.295485714286,30.2383885105113,5,453.5758276576695,41.28034194338352
PEP-0325,15,0,0,2,0,29365,0.77424,0.205358333333333,13.15,0.410716666666666,12.6835,560.999537671098,186.302089743695,21.1478619381003,5,6,410.716666666666,21.1478619381003,5,317.2179290715045,-93.49873759516151
PEP-0045,8,0,0,0,1,9621,98.199,0.208392857142857,14.6874921861289,0.409279403571429,9.60883333333333,797.02749494043,100.541436842541,48.2490818900762,5,1,409.279403571429,48.2490818900762,5,723.7362283511429,314.45682477971394
PEP-0058,7,0,0,0,1,8576,0.61178,0.330214285714286,11.1312336068559,0.404036991428571,7.92066666666667,251.931845378307,44.6866107191563,25.2423943507633,5,4,404.036991428571,25.2423943507633,5,378.6359152614495,-25.40107616712152
PEP-0006,7,0,0,0,1,8536,100.0,0.20175,20.7046844842295,0.4035,10.4061666666667,709.671137653994,109.689085455,62.3836008957517,5,1,403.5,62.3836008957517,5,935.7540134362756,532.2540134362755
PEP-0302,17,0,0,0,0,15639,0.79778,0.2006,11.33399038,0.4012,9.991,570.525199741046,107.570982092831,22.9279327520582,5,6,401.2,22.9279327520582,5,343.918991280873,-57.28100871912699
PEP-0075,9,0,0,0,1,10484,0.74199,0.269333333333333,12.6053210524916,0.39968528,9.71983333333334,428.332042483946,61.1687500481421,26.1103641303377,5,4,399.68528,26.1103641303377,5,391.6554619550655,-8.029818044934473
PEP-0156,8,0,1,1,0,17315,0.92508,0.2154,14.4706113381592,0.398524464,12.5848333333333,669.522370799395,187.385709362919,36.07386839213,5,4,398.524464,36.07386839213,5,541.1080258819501,142.58356188195006
PEP-0130,12,0,0,3,1,34061,0.53242,0.3725625,12.6602135929205,0.3967194525,9.883,1057.4366686563,532.777904832386,56.58339225901,5,4,396.7194525,56.58339225901,5,848.75088388515,452.03143138515
PEP-0018,7,0,0,2,0,16218,100.0,0.19675,17.4613116245002,0.3935,13.5118333333333,791.923913342019,114.050450848867,23.4411252618216,5,1,393.5,23.4411252618216,5,351.616878927324,-41.883121072675976
PEP-0246,13,0,0,0,0,16826,0.97552,0.201666666666667,14.4569055244099,0.393459733333333,11.1585,478.501288949163,87.8784820733708,17.4092638522467,5,5,393.459733333333,17.4092638522467,5,261.1389577837005,-132.32077554963251
PEP-0131,9,0,0,0,0,7993,0.76187,0.2565,20.3321526078934,0.39083931,10.6715,500.360569713839,95.6851528510742,39.9037294512174,5,4,390.83931,39.9037294512174,5,598.555941768261,207.71663176826104
PEP-0005,7,0,0,0,1,8551,98.369,0.19725,14.814265961048,0.388065705,10.0408333333333,484.906604839625,80.0630599584401,45.4181188781712,5,1,388.065705,45.4181188781712,5,681.271783172568,293.206078172568
PEP-0067,10,0,0,0,1,16471,0.75658,0.255928571428571,13.4266223162449,0.387260877142857,8.44666666666667,293.776217424026,89.5967125609895,21.6479927904198,5,4,387.260877142857,21.6479927904198,5,324.719891856297,-62.54098528655999
PEP-0313,17,0,0,1,1,23529,0.75156,0.19,15.51516102,0.38,12.0743333333333,728.819757618227,152.200033696834,24.3278721423282,5,6,380.0,24.3278721423282,5,364.918082134923,-15.081917865077004
PEP-0096,8,0,0,0,0,6912,0.91273,0.203142857142857,11.0829794848179,0.37082916,12.143,436.912806955325,52.8716891563017,25.4975352798523,5,4,370.82916,25.4975352798523,5,382.4630291977845,11.63386919778452
PEP-0028,7,0,0,0,0,10951,74.788,0.247714285714286,29.826231936683,0.37052112,7.30783333333333,361.548829319385,163.063704213288,49.6343421341392,5,1,370.52112,49.6343421341392,5,744.5151320120881,373.9940120120881
PEP-0119,11,0,0,2,1,22627,0.83061,0.22034375,12.542664012014,0.366039444375,12.914,1001.95919167698,188.573115083913,31.5044632257272,5,4,366.039444375,31.5044632257272,5,472.566948385908,106.527504010908
PEP-0336,12,0,0,0,1,18544,0.99015,0.182958333333333,11.32,0.365916666666666,7.0735,498.000393840982,162.641966505602,34.1634563206255,5,6,365.916666666666,34.1634563206255,5,512.4518448093825,146.53517814271646
PEP-0037,7,0,1,0,0,11411,95.877,0.19035,12.5107034202117,0.365003739,10.3721666666667,804.45092321522,97.2248406743602,28.4009115982707,5,1,365.003739,28.4009115982707,5,426.0136739740605,61.00993497406051
PEP-0144,10,0,1,0,0,14141,0.97752,0.186107142857143,25.3068349754682,0.363846908571429,11.13,493.183041243698,122.298320098678,28.828305423633,5,4,363.84690857142897,28.828305423633,5,432.424581354495,68.57767278306602
PEP-0003,7,0,0,0,1,8651,86.753,0.207214285714286,19.6093517958338,0.359529218571429,,,107.2031417947,59.7964869448349,5,1,359.529218571429,59.7964869448349,5,896.9473041725236,537.4180856010946
PEP-0126,10,0,0,2,0,19285,0.67735,0.26525,10.7975281554463,0.359334175,10.1933333333333,742.205174157823,177.491404844855,30.6786630100865,5,4,359.334175,30.6786630100865,5,460.1799451512975,100.84577015129751
PEP-0237,13,0,0,1,0,27136,1.0,0.17959375,11.6821473258986,0.3591875,,,102.992489225988,12.6513965735539,5,5,359.1875,12.6513965735539,5,189.77094860330848,-169.41655139669152
PEP-0284,12,0,0,1,0,15871,0.8567,0.2079,19.9270087687782,0.35621586,12.7351666666667,361.809975999832,73.5812880357553,15.4540331497186,5,5,356.21586,15.4540331497186,5,231.81049724577895,-124.40536275422104
PEP-0310,15,0,1,1,1,31895,0.92325,0.176475,22.40790934,0.35295,11.2928333333333,1132.31830181072,375.959982049128,42.8884305326406,5,6,352.95,42.8884305326406,5,643.326457989609,290.37645798960904
PEP-0029,7,0,1,0,0,11229,96.684,0.1812,29.723039192068,0.350382816,10.0253333333333,888.84961169085,131.151543736152,38.9323904580854,5,1,350.382816,38.9323904580854,5,583.985856871281,233.60304087128105
PEP-0073,7,0,1,0,0,11297,0.68078,0.2573,10.0905380401644,0.350329388,9.31733333333333,362.959112574698,47.8015712197084,14.104503030217,5,4,350.329388,14.104503030217,5,211.567545453255,-138.761842546745
PEP-0020,7,0,0,2,1,23919,84.831,0.201875,14.1106386384406,0.3425051625,11.2151666666667,942.502054972055,295.34928159765,46.3423839825597,5,1,342.50516250000004,46.3423839825597,5,695.1357597383956,352.6305972383955
PEP-0279,12,0,1,1,0,26252,0.99176,0.1725,11.994012368812,0.3421572,12.1678333333333,421.243649300548,166.139294010005,21.0954459355484,5,5,342.1572,21.0954459355484,5,316.431689033226,-25.72551096677398
PEP-0306,17,0,1,1,1,33768,1.0,0.169704545,27.63909446,0.33940909,9.67966666666667,990.646111750045,269.44982810627,28.8864404749482,5,6,339.40909000000005,28.8864404749482,5,433.296607124223,93.88751712422294
PEP-0044,8,0,0,1,1,14618,100.0,0.16775,12.213658037925,0.3355,11.2905,774.273843243341,115.076412354334,32.1182316989963,5,1,335.5,32.1182316989963,5,481.77347548494447,146.27347548494447
PEP-0046,8,0,1,0,0,12359,93.593,0.1765,11.3597380485911,0.33038329,9.95483333333333,792.668715654944,86.3337099254932,23.2849771894957,5,1,330.38329,23.2849771894957,5,349.2746578424355,18.8913678424355
