peptide_id,sequence_length,n_trp,n_tyr,n_phe,n_pro,epsilon_214_published,purity,aaa_ratio,aaa_cv,actual_concentration,rt,height,area,conc_u_m,hplc_dilution_factor,batch,aaa_adj,hplc_conc_raw,hplc_df,hplc_adj,purity_num,diff_adj,mean_xy,ratio,diff_pct_relAAA,diff_pct_of_mean,log2fc,pct_diff
PEP-0166,12,0,0,0,1,18463,0.97539,0.123541666666667,9.93706611321393,0.2410026125,9.13333333333333,466.944972044205,102.000796343331,21.5355114313257,5,5,241.0026125,21.5355114313257,5,323.0326714698855,0.97539,82.03005896988549,282.0176419849428,1.3403699989761957,34.036999897619566,29.086853713309598,0.4226313006876634,34.036999897619566
PEP-0205,12,0,0,1,0,20931,1.0,0.119625,13.3244205887525,0.23925,,,86.9068991311651,13.840220905382,5,5,239.25,13.840220905382,5,207.60331358073,1.0,-31.646686419270026,223.42665679036497,0.8677254486132915,-13.227455138670855,-14.164239340949916,-0.2046894538077249,-13.227455138670855
PEP-0143,12,0,0,2,1,23738,0.58757,0.196178571428571,8.71190003206707,0.230537286428571,11.8118333333333,815.475650883108,145.209332805389,22.9801599654036,5,4,230.53728642857095,22.9801599654036,5,344.70239948105404,0.58757,114.16511305248306,287.6198429548125,1.495213224815395,49.52132248153952,39.69305868455653,0.5803512345563364,49.52132248153952
PEP-0337,13,0,0,0,3,19962,1.0,0.114446428571429,21.7,0.228892857142858,8.11333333333333,536.863193426088,93.3275672328455,26.0611452438763,5,6,228.892857142858,26.0611452438763,5,390.9171786581445,1.0,162.0243215152865,309.90501790050126,1.7078609771302862,70.78609771302862,52.28192902875369,0.772190541839105,70.78609771302862
PEP-0270,12,0,0,2,1,28859,0.93545,0.12165625,8.02148559761443,0.227606678125,10.172,635.497627285884,158.89966797379,20.2285960858782,5,5,227.606678125,20.2285960858782,5,303.4289412881729,0.93545,75.82226316317295,265.5178097065865,1.3331284643657595,33.312846436575946,28.556375652149743,0.4148158096642486,33.312846436575946
PEP-0014,7,0,0,2,1,29006,58.465,0.19365,12.717256352451,0.226434945,,,249.120568637474,31.5370436162032,5,1,226.434945,31.5370436162032,5,473.055654243048,58.465,246.620709243048,349.745299621524,2.0891459763114213,108.91459763114212,70.51437417741653,1.0629133023345232,108.91459763114212
PEP-0160,12,0,0,2,0,26183,0.54974,0.205375,14.2969053087348,0.225805705,12.5423333333333,522.69713418321,135.49654921917,17.2499394287858,5,4,225.805705,17.2499394287858,5,258.749091431787,0.54974,32.94338643178702,242.2773982158935,1.1458926222957344,14.58926222957344,13.597383278167433,0.1964718603780482,14.58926222957344
PEP-0157,11,0,0,1,0,20038,0.69681,0.160583333333333,13.4593421767668,0.223792145,,,109.933053757879,18.2874295102437,5,4,223.792145,18.2874295102437,5,274.3114426536555,0.69681,50.519297653655485,249.05179382682772,1.2257420503014325,22.57420503014325,20.28465520259729,0.2936554048804682,22.57420503014325
PEP-0249,13,0,0,1,2,27194,0.95711,0.116833333333333,12.8659662695131,0.223644703333333,11.0811666666667,524.057630664375,120.884885161635,18.4466955322033,5,5,223.644703333333,18.4466955322033,5,276.7004329830495,0.95711,53.05572964971648,250.17256815819127,1.2372322208348443,23.723222083484423,21.20765279755526,0.3071163106650521,23.723222083484423
PEP-0269,13,0,0,0,2,16872,0.94452,0.117,8.92845402383598,0.22101768,10.965,355.895885072366,70.7517541924972,20.4685975214075,5,5,221.01768,20.4685975214075,5,307.0289628211125,0.94452,86.0112828211125,264.02332141055626,1.3891601921670362,38.91601921670362,32.57715354900977,0.474212974495136,38.91601921670362
